dat;summary;location;desc
1812-06-18;War of 1812 Begins;;On June 18, 1812, America declared war on Britain.
1814-08-24;British troops enter Washington, D.C.;Washington, D.C.;On August 24, 1814, British troops under General Robert Ross enter Washington, D.C. to destroy many government buildings, including the White House, the Treasury building and the Library of Congress.
1814-09-12;Battle of Baltimore;Baltimore, Maryland;"September 12, 1814.  It was during this battle that Francis Scott Key wrote the words that would become the ""Star-Spangled Banner""."
1814-12-24;The Treaty of Ghent signed;;Treaty was signed on December 24, 1814 to end the War of 1812 between the U.S.A. and the U.K.
1815-01-08;Battle of New Orleans;New Orleans, Louisiana;January 8, 1815
1859-10-16;John Brown's Raid on Harpers Ferry;Harpers Ferry, West Virginia;October 16, 1859, Abolitionist John Brown led 22 men on the federal armory at Harpers Ferry.  He was captured and later hanged. 
1860-12-20;South Carolina secedes from the Union;South Carolina;On December 20, 1860, South Carolina was the first of eleven states to secede from the Union
1861-01-09;Mississippi secedes from the Union;Mississippi;On January 9, 1861, Mississippi was the second of eleven states to secede from the Union
1861-01-10;Florida secedes from the Union;Florida;On January 10, 1861, Florida was the third of eleven states to secede from the Union.
1861-01-11;Alabama secedes from the Union;Alabama;On January 11, 1861, Alabama is the fourth of eleven states to secede from the Union.
1861-01-19;Georgia secedes from the Union;Georgia;On January 19, 1861, Georgia is the fifth of eleven states to secede from the Union.
1861-01-26;Louisiana secedes from the Union;Louisiana;On January 26, 1861, Louisiana is the sixth of eleven states to secede from the Union
1861-02-01;Texas secedes from the Union;Texas;On February 1, 1861, Texas is the seventh of eleven states to secede from the Union.
1861-02-18;Jefferson Davis becomes President of the Confederate States;;February 18, 1861
1861-04-12;Battle of Fort Sumter;Charleston, South Carolina;The Battle of Fort Sumter on April 12, 1861 was the first battle of the Civil War.
1861-04-17;Virginia secedes from the Union;Virginia;On April 17, 1861, Virginia is the eighth of eleven states to secede from the Union.
1861-05-06;Arkansas secedes from the Union;Arkansas;On May 6, 1861, Arkansas is the ninth of eleven states to secede from the Union.
1861-05-20;North Carolina secedes from the Union;North Carolina;On May 20, 1861, North Carolina is the tenth of eleven states to secede from the Union.
1861-06-08;Tennessee secedes from the Union;Tennessee;On June 8, 1861, Tennessee is the eleventh of eleven states to secede from the Union.
1861-07-21;First Battle of Bull Run/Manassas;Manassas, Virginia;July 21, 1861
1862-09-17;Battle of Antietam/Sharpsburg;Sharpsburg, Maryland;September 17, 1862 - The bloodiest single day battle in American history with about 23,000 casualties.
1862-12-13;Battle of Fredricksburg;Fredricksburg, Virginia;December 13, 1862 
1863-01-01;Emancipation Proclamation;Washington, D.C.;On January 1, 1863 Abraham Lincoln issues the Emancipation Proclamation, freeing slaves in Confederate-held territory.
1863-11-19;Gettysburg Address;Gettysburg, Pennsylvania;Delivered on November 19, 1863 by Abraham Lincoln.
1864-08-05;Battle of Mobile Bay;Mobile Bay, Alabama;August 5, 1864
1864-09-02;Battle of Atlanta;Atlanta, Georgia;September 2, 1864 
1865-04-09;Lee surrenders army to Grant;Appomattox, Virginia;April 9, 1865
1865-04-14;Abraham Lincoln shot at Ford's Theatre;Washington, D.C.;Abraham Lincoln was shot on April 14, 1865 and died the following day.
1865-04-26;Johnston surrenders troops to Sherman;Durham, North Carolina;April 26, 1865
1865-05-10;Jefferson Davis is captured;Irwinville, Georgia;May 10, 1865
1865-12-06;Thirteenth Amendment ratified;;On December 6, 1865, the Thirteenth Admendment to the Constitution was ratified, officially abolishing slavery.
1881-09-19;James Garfield shot;;President James Garfield was shot on July 2, 1881, just 4 months after taking office.  He died on September 19, 1881
1901-09-06;William McKinley shot;Buffalo, New York;President McKinley was shot on September 6, 1901 in Buffalo New York while attending the Pan-American Exposition, and died 8 days later on September 14.  Upon McKinley's death, Vice President Theodore Roosevelt assumed the Presidency.
1903-12-17;Wright Brothers fly first airplane;Kitty Hawk, North Carolina;December 17, 1903
1927-05-21;Lindbergh arrives in Paris after first solo nonstop transatlantic flight;Paris France;"Lindbergh departed from Roosevelt Field in New York on May 20, 1927 in his plane, ""Spirit of St. Louis"", arriving in Paris after a 33 hour flight on May 21, 1927."
1939-01-05;Amelia Earhart and plane missing over central Pacific Ocean near Howland Island;Howland Island;Missing July 2, 1937, declared dead on January 5, 1939
1941-12-07;Pearl Harbor Attacked by Japanese;Pearl Harbor, Hawaii;December 7, 1941
1944-06-06;Invasion of Normandy;Normandy, France;June 6, 1944
1945-05-07;Germany surrenders, ending the war in Europe;Reims, France;May 7, 1945
1945-08-06;Atomic Bombing of Hiroshima, Japan;Hiroshima, Japan;August 6, 1945, 140,000 people, mostly civilians, were killed in the bombing in Hiroshima. Approximately 70,000 were killed on the day of the bombing and the others by the end of 1945 due to burns, radiation and disease caused by the bombing.
1945-08-09;Atomic Bombing of Nagasaki, Japan;Nagasaki, Japan;August 9, 1945, 80,000 people, mostly civilians, were killed in the bombing in Nagasaki. Approximately 40,000 were killed on the day of the bombing and the others by the end of 1945 due to burns, radiation and disease caused by the bombing.
1945-08-15;Japan announces its surrender to the Allied Forces;;August 15, 1945
1945-09-02;Japanese sign Instrument of Surrender;Tokyo Bay, Japan;Signed September 2, 1945, The signing of this document offically ended the Pacific War of World War II.
1947-10-14;Man flies faster than the speed of sound;;October 14, 1947, Chuck Yeager becomes the first person to fly faster than the speed of sound.
